features	weights	abs_weight
cg03393996/NA	0.525385569244474	0.525385569244474
cg09232069/SEC14L1	0.525726003725	0.525726003725
cg24995836/GABRA3	0.526627005426909	0.526627005426909
cg06196689/MUC13	0.526924556310111	0.526924556310111
cg26664871/MKX	0.529288459302725	0.529288459302725
cg10634403/NA	0.529681583933442	0.529681583933442
cg14694370/NA	0.530338114672024	0.530338114672024
cg01384143/C3orf14	0.533966284206317	0.533966284206317
cg24218626/ZAK	0.535154781035182	0.535154781035182
cg18118743/NA	0.53630688317878	0.53630688317878
cg14193653/NFIL3	0.537684693458929	0.537684693458929
cg05833946/ARHGEF10	0.539291850348162	0.539291850348162
cg20509869/NA	0.539873141353444	0.539873141353444
cg14619949/F2RL1	0.540616782217654	0.540616782217654
cg16283362/NA	0.541043674090776	0.541043674090776
cg14711997/KCNH2	0.541511272451182	0.541511272451182
cg04781796/GABRD	0.541628561849577	0.541628561849577
cg17664577/MMP9	0.542510862190833	0.542510862190833
cg23512231/NA	0.543196907372472	0.543196907372472
cg06173663/CUX1	0.543277834719583	0.543277834719583
cg13750264/GPR123	0.544392355090791	0.544392355090791
cg00343839/LOC728392	0.545974324522201	0.545974324522201
cg02473540/ZNF135	0.546116131064101	0.546116131064101
cg06730285/APBB3	0.546931875449103	0.546931875449103
cg09128529/NA	0.549408131694103	0.549408131694103
cg06214253/PIBF1	0.549521121539493	0.549521121539493
cg01715910/MED11	0.550343840698932	0.550343840698932
cg26605073/TMEM35	0.551116818861898	0.551116818861898
cg10811052/FAAH2	0.552515459214221	0.552515459214221
cg22010900/CXorf42	0.554606447859381	0.554606447859381
cg10632894/HLA-DRB1	0.556259563654061	0.556259563654061
cg03378599/NA	0.557366607530422	0.557366607530422
cg25891433/TBC1D19	0.558505112914398	0.558505112914398
cg05075118/TMEM108	0.559996299144808	0.559996299144808
cg10499651/PPARG	0.560004710081259	0.560004710081259
cg24830730/KCNH2	0.560327781226894	0.560327781226894
cg10662314/MIR196A2	0.560916490549715	0.560916490549715
cg22574818/MAGEH1	0.564702093823635	0.564702093823635
cg15552370/NEURL1B	0.565174534829092	0.565174534829092
cg15161959/NA	0.565638492852754	0.565638492852754
cg20769856/NA	0.56732569652301	0.56732569652301
cg27404676/FAM46D	0.567862553955079	0.567862553955079
cg23733328/IQSEC2	0.568255881367338	0.568255881367338
cg01737550/TCEAL6	0.568274467737418	0.568274467737418
cg00221709/NA	0.569270068899618	0.569270068899618
cg03543593/TNXB	0.569850923451905	0.569850923451905
cg00948124/UNC5D	0.569927146370921	0.569927146370921
cg25538235/CBLN2	0.572739772840978	0.572739772840978
cg18142262/NA	0.577765400335128	0.577765400335128
cg09451427/CACNA2D2	0.577787613779883	0.577787613779883
cg01061391/NA	0.584948895714571	0.584948895714571
cg12524698/RPLP2	0.585168350598863	0.585168350598863
cg25122233/HOXC4	0.587432579527075	0.587432579527075
cg22713630/NA	0.588072301321381	0.588072301321381
cg10841064/ZNF645	0.588137146477272	0.588137146477272
cg14774290/PTK2	0.591879264215419	0.591879264215419
cg15690342/NA	0.592242864022457	0.592242864022457
cg02542401/MRPL3	0.595406172045349	0.595406172045349
cg14299480/GGN	0.596025569117562	0.596025569117562
cg21901718/MARCH11	0.596148657964068	0.596148657964068
cg08885114/ERICH1	0.597113352422349	0.597113352422349
cg25177692/NA	0.5975898333223	0.5975898333223
cg10549986/RSAD2	0.599323812211404	0.599323812211404
cg11033835/ROBO2	0.602106284244627	0.602106284244627
cg22856324/CYP26B1	0.606348802892149	0.606348802892149
cg11851456/NGDN	0.608492023455644	0.608492023455644
cg02789362/C6orf97	0.609333464718854	0.609333464718854
cg00778995/POU3F3	0.611524614635948	0.611524614635948
cg20690695/PLD3	0.61298750986753	0.61298750986753
cg09907936/ZNF135	0.613476630728963	0.613476630728963
cg10291990/NR0B1	0.613489407676137	0.613489407676137
cg06800962/TM4SF1	0.614881535233467	0.614881535233467
cg25838150/NA	0.615850810457741	0.615850810457741
cg26848718/WT1	0.617781476735716	0.617781476735716
cg25604547/NA	0.620818598254974	0.620818598254974
cg03566107/CBLN2	0.622135906660669	0.622135906660669
cg07889505/NA	0.622291158393314	0.622291158393314
cg02258381/NA	0.624847800723049	0.624847800723049
cg02058408/NA	0.627405361625165	0.627405361625165
cg05594286/NA	0.630365828389386	0.630365828389386
cg23854488/FGF4	0.633487142854236	0.633487142854236
cg17950410/TUBB	0.63434825214033	0.63434825214033
cg25950625/PLCXD3	0.634996586797541	0.634996586797541
cg08058544/NA	0.63501329445044	0.63501329445044
cg23642827/NA	0.639312123361535	0.639312123361535
cg23584087/KL	0.639617684693048	0.639617684693048
cg24754154/IRS4	0.643494541723273	0.643494541723273
cg04924962/BCOR	0.643850465863838	0.643850465863838
cg01005486/NA	0.646788768870282	0.646788768870282
cg26871372/NA	0.652226818630752	0.652226818630752
cg02328332/LHX5	0.654482896844183	0.654482896844183
cg13699065/NA	0.654564003775681	0.654564003775681
cg09418984/MYADM	0.655572840941709	0.655572840941709
cg08939521/NA	0.671503709420099	0.671503709420099
cg12950441/HTR2C	0.67317953190772	0.67317953190772
cg13479204/HOXB3	0.674955825063276	0.674955825063276
cg04140663/CPEB1	0.675104390376206	0.675104390376206
cg03779973/DCLK2	0.67652694458545	0.67652694458545
cg22457769/NA	0.686242469316476	0.686242469316476
cg13726345/NA	0.687275654406831	0.687275654406831
cg21096457/ATXN7L1	0.689197730530928	0.689197730530928
cg08496775/STMN2	0.69061884150852	0.69061884150852
cg13125157/CA10	0.693145345756751	0.693145345756751
cg03607220/HLA-DRB6	0.697352046013019	0.697352046013019
cg21026830/NA	0.701871422109143	0.701871422109143
cg08189989/NA	0.703334354902444	0.703334354902444
cg01878345/POU3F3	0.703468258804494	0.703468258804494
cg04658243/RPTOR	0.710023457098116	0.710023457098116
cg18394995/TFE3	0.71154763264866	0.71154763264866
cg25078444/FOXG1	0.712189028554919	0.712189028554919
cg17642369/NA	0.718594404443078	0.718594404443078
cg07510333/SLC36A1	0.720813031216474	0.720813031216474
